Question,A,B,C,Correct answer
Πέντε βραχείς συριγμοί σημαίνουν:,Χειρίζω ανάποδα.,Στρέφω δεξιά.,Εκφράζω αμφιβολίες για τους χειρισμούς που κάνει άλλο πλοίο και περιμένω να εκδηλώσει τις προθέσεις του.,C
Το καπνογόνο έχει χρώμα:,Κίτρινο.,Πράσινο.,Πορτοκαλί.,C
Μακρύς συριγμός είναι αυτός που διαρκεί:,3 δευτερόλεπτα περίπου.,4 δευτερόλεπτα περίπου.,4-6 δευτερόλεπτα περίπου.,C
"Αν κατά τη διάρκεια της νύχτας παρουσιαστεί κάπιο πρόβλημα και το σκάφος περιέλθει σε κατάσταση ανάγκης ή κινδύνου, συνεγείρουμε τα παραπλέονατ πλοία ή τους ευρισκόμενους στην ξηρά:",Χρησιμοποιώντας το καπνογόνο μας.,Χρησιμοποιώντας τα βεγγαλικά.,Ανάβοντας κόκκινο φως.,B
Όταν ένα μηχανοκίνητο πλοίο σε ομίχλη εκπέμπει έναν μακρύ συριγμό αυτό σημαίνει:,Ότι είναι ακινητοποιημένο.,Ότι προτίθεται να κάνει προσπέραση από τα δεξιά.,Ότι κινείται κανονικά.,C
Όταν ένα πλοίο προτίθεται να περάσει ένα άλλο μέσα σε ένα δίαυλο από την αριστερή πλευρά του τότε εκπέμπει:,Δύο βραχείς συριγμούς.,Ένα μακρύ συριγμό και δύο βραχείς ανά δύο λεπτά.,Δύο μακρύς συριγμούς ακολουθούμενους από δύο βραχείς.,C
Όταν ένα μηχανοκίνητο πλοίο μέσα σε ομίχλη θέλει να δηλώσει ότι είναι ακινητοποιημένο χωρίς όμως να είναι αγκυροβολημένο τότε εκπέμπει:,Δύο μακρύς συριγμούς που απέχουν μεταξύ τους χρονικά δύο δευτερόλεπτα και επαναλαμβάνονται κάθε δύο λεπτά.,Πέντε βραχείς συριγμούς.,"Ένα μακρύ ένα βραχύ, ένα μακρύ ένα βραχύ περιοδικά.",A
Κατά τον κατάπλου σε θέση ελλιμενισμού ο χειριστής οφείλει:,Να πλέει ήρεμα και με μεγάλη προσοχή.,Να πλέει με πολύ μικρή ταχύτητα.,Να πλέει με πολύ μεγάλη ταχύτητα για επίδειξη ικανοτήτων.,A
Αν κατά την διάρκεια του ταξιδιού (πλου) ο καιρός αρχίσει ξαφνικά να επιδεινώνεται ο χειριστής οφείλει:,Να κάνει αλλαγή ή αλλαγές πορείας με τελικό σκοπό την όσο το δυνατόν συντομότερη επιστροφή στο λιμένα ή άλλο ασφαλή όρμο.,Να πλέει σιγά- σιγά για να μην κοπανάει το σκάφος.,Να πλέει με μεγάλη ταχύτητα αδιαφορώντας για τις καιρικές συνθήκες.,A
Όταν πρόκειται να αποπλεύσουμε από έναν όρμο ο χειριστής οφείλει:,Να αποπλεύσει με μικρή ταχύτητα.,Να αποπλεύσει μα τα κουπιά.,Να αποπλεύσει πρώτα αφού διαπιστώσει ότι 100 μέτρα εκατέρωθεν δεν υπάρχουν κολυμβητές.,C
"Κατά την καθέλκυση ενός σκάφους από μια ράμπα, γλίστρα που βρίσκεται κοντά σε πλαζ:",Θα απομακρυνθούμε με μικρή ταχύτητα.,Θα απομακρυνθούμε μόνο με τα κουπιά.,50μ. εκατέρωθεν να μην υπάρχει κολυμβητής.,C
Προσωρινή στέρηση διπλώματος από παράβαση είναι:,Από 15 ημέρες έως 3 μήνες.,Από 1 μήνα έως 12 μήνες.,Οριστική αφαίρεση διπλώματος.,B
