Question,A,B,C,Correct answer
"Η κυκλοφορία των θαλασσίων μοτοποδηλάτων και των HOVER CRAFTS, απαγορεύεται:",Σε απόσταση μικρότερη των 100 μέτρων από το σύνηθες σημείο των λουομένων.,"Σε απόσταση 200 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ, 300 μέτρων από το συνηθισμένο σημείο των λουομένων και 500 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.","Σε απόσταση 100 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ, 200 μέτρων από το συνηθισμένο σημείο των λουομένων και 200 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.",B
Αν κατά τη διάρκεια της ημέρας κινδυνεύουμε χρησιμοποιούμε:,Βεγγαλικά.,Καπνογόνα.,Ανάβουμε λευκό φως ή λευκή σημαία.,B
Ο εφίστιος φανός φωτίζει τόξο:,"225 μοιρών, λευκός και φωτίζει 112,5 μοίρες προς κάθε κατεύθυνση.","360 μοίρες, λευκός, 180 μοίρες πρύμνη και πλώρη.","135 μοίρες, λευκός, 67,5 μοίρες δεξιά και αριστερά της πρύμνης.",A
Οι ιδιοκτήτες ταχυπλόων σκαφών οφείλουν:,Να απαγορεύουν τη χρησιμοποίηση των σκαφών τους από οποιοδήποτε άτομο.,Να επιτρέπουν τη χρησιμοποίηση των σκαφών τους από οποιοδήποτε άτομο.,Να απαγορεύουν τη χρησιμοποίηση των σκαφών τους από άτομα που δεν έχουν άδεια ικανότητας χειριστή ή από άτομα υπό την επιρροή οινοπνευματωδών ποτών.,C
Σε κάθε περίπτωση το πλοίο που υποχρεούται σύμφωνα με το ΔΚΑΣ να απομακρύνεται από άλλο πλοίο πρέπει:,Να χειρίζει σιγά - σιγά και να τηρείται μακριά από αυτό.,Να αναμένει την εκδήλωση των προθέσεων του άλλου πλοίου.,Να χειρίζει έγκαιρα ώστε να τηρείται μακριά από αυτό.,C
Ο όρος Μηχανοκίνητο πλοίο σημαίνει:,Κάθε πλοίο που κινείται με τις μηχανές του.,Κάθε πλοίο που κινείται με ιστία.,Κανένα από τα a και b.,A
Όποια μεταβολή πορείας ή αλλαγή ταχύτητας επιχειρείται για αποφυγή σύγκρουσης πρέπει να είναι:,Αρκετά μεγάλη ώστε να γίνεται αμέσως αντιληπτή από το άλλο πλοίο.,Μικρή ώστε να γίνει σιγά - σιγά αντιληπτή από το άλλο πλοίο.,Κανένα από τα a και b.,A
Ο όρος “Αγκυροβολημένο πλοίο” σημαίνει:,Ότι έχει ποντίσει (φουντάρει) τις άγκυρες του και παραμένει ακίνητο.,Ότι είναι προσδεμένο στην ακτή και παραμένει ακίνητο.,Είναι προσαραγμένο σε αβαθή νερά.,A
Η γνώση του δελτίου καιρού που ισχύει στην περιοχή κρίνεται ως:,Απλώς αναγκαία για τον υπολογισμό του εκτάματος του σχοινιού ή της αλυσίδας της άγκυρας κατά την αγκυροβολία του σκάφους.,"Απαραίτητη, ώστε να επιδεικνύουμε, σε τυχόν επιβαίνοντες στο σκάφος, τις γνώσεις μας επί των καιρικών συνθηκών.","Απαραίτητη, ώστε να ματαιώνετε το ταξίδι αν επικρατούν ή αναμένεται να επικρατήσουν δυσμενείς καιρικές συνθήκες.",C
Ποιο είναι το ασφαλέστερο υλικό στην κατασκευή δοχείων μεταφοράς βενζίνης:,Το πλαστικό.,Ο σίδηρος.,Το αλουμίνιο.,B
